comment_text,category
"You might want to check your audio sync, it's slightly off.",Constructive Criticism
"The transitions are a bit jarring, try a smoother cut.",Constructive Criticism
"Great content, but the thumbnail is misleading.",Constructive Criticism
"Maybe add a summary at the end?",Constructive Criticism
"The background noise is distracting, try a noise gate.",Constructive Criticism
"Good points, but the presentation style is a bit dry.",Constructive Criticism
"This is trash, quit now.",Hate/Abuse
"You are the worst creator on this platform.",Hate/Abuse
"Nobody cares about your opinion, idiot.",Hate/Abuse
"Your content is garbage.",Hate/Abuse
"You look ugly in this video.",Hate/Abuse
"Delete your channel immediately.",Hate/Abuse
"This is absolutely pathetic.",Hate/Abuse
"You are a waste of space.",Hate/Abuse
"Cringe. Pure cringe.",Hate/Abuse
"Who allowed you to post this rubbish?",Hate/Abuse
"You are so stupid.",Hate/Abuse
"Go kill yourself.",Hate/Abuse
"Awful.",Hate/Abuse
"Disgusting video.",Hate/Abuse
"You should be ashamed of this.",Hate/Abuse
"Nobody likes you.",Hate/Abuse
"Stop posting, nobody watches this.",Hate/Abuse
"Loser.",Hate/Abuse
"Get a life.",Hate/Abuse
"This is the worst thing I've ever seen.",Hate/Abuse
"I'll report you if this continues.",Threat
"I know where you live, watch your back.",Threat
"I'm going to hack your account.",Threat
"You better take this down or else.",Threat
"I will find you and make you pay.",Threat
"Prepare for the consequences.",Threat
"You're dead meat.",Threat
"If I see you in person, it's over.",Threat
"I am coming for you.",Threat
"Your family isn't safe.",Threat
"I'm going to dox you.",Threat
"Sleep with one eye open.",Threat
"This isn't a joke, I will hurt you.",Threat
"I'm tracking your IP.",Threat
"You will regret this.",Threat
"I'm waiting outside.",Threat
"Say goodbye to your account.",Threat
"I will destroy your career.",Threat
"Watch your step.",Threat
"Don't think you are safe.",Threat
"This reminded me of my childhood.",Emotional
"I'm actually crying right now, this is so touching.",Emotional
"This hit me right in the feels.",Emotional
"I lost my dog recently and this made me think of him.",Emotional
"This is exactly what I needed to hear today.",Emotional
"My heart is full watching this.",Emotional
"I can't stop smiling, this is so wholesome.",Emotional
"This brings back so many memories.",Emotional
"I felt this on a spiritual level.",Emotional
"Thank you for sharing your story, it moved me.",Emotional
"This made my day.",Emotional
"This scares me.",Emotional
"So nostalgic.",Emotional
"I have goosebumps.",Emotional
"This is heartbreaking.",Emotional
"I can relate to this so much.",Emotional
"Sending prayers.",Emotional
"This is so sad but beautiful.",Emotional
"I'm in tears.",Emotional
"Such a powerful message.",Emotional
"Follow me for followers!",Irrelevant/Spam
"Check out my bio for easy money.",Irrelevant/Spam
"Buy 1000 likes for $5.",Irrelevant/Spam
"Click this link to win an iPhone.",Irrelevant/Spam
"Great post! Visit my profile.",Irrelevant/Spam
"DM me for collaboration.",Irrelevant/Spam
"Cryptocurrency investment opportunities here.",Irrelevant/Spam
"Can you please shout me out?",Irrelevant/Spam
"Nice pic. Check mine.",Irrelevant/Spam
"F4F???",Irrelevant/Spam
"Cheap Ray-Bans on sale now!",Irrelevant/Spam
"Check out my mixtape.",Irrelevant/Spam
"Scam alert!",Irrelevant/Spam
"Click here for free V-Bucks.",Irrelevant/Spam
"Make $5000 a week from home!",Irrelevant/Spam
"Instant followers guaranteed.",Irrelevant/Spam
"Visit my website.",Irrelevant/Spam
"Hello dear, please message me.",Irrelevant/Spam
"Winner! Claim your prize now.",Irrelevant/Spam
"Don't miss this opportunity.",Irrelevant/Spam
"Can you make one on topic X?",Question/Suggestion
"What software did you use for this?",Question/Suggestion
"When is the next episode coming out?",Question/Suggestion
"How long did this take you to make?",Question/Suggestion
"Could you do a tutorial on color grading?",Question/Suggestion
"Where did you buy that shirt?",Question/Suggestion
"Any tips for beginners?",Question/Suggestion
"What camera do you use?",Question/Suggestion
"Can you review my portfolio?",Question/Suggestion
"Why did you choose this background music?",Question/Suggestion
"Is this available in the UK?",Question/Suggestion
"How much does this cost?",Question/Suggestion
"Is it free?",Question/Suggestion
"Can you do a part 2?",Question/Suggestion
"What are your specs?",Question/Suggestion
"Where is this location?",Question/Suggestion
"Can I use this in my video?",Question/Suggestion
"Do you do commissions?",Question/Suggestion
"How did you learn to do this?",Question/Suggestion
"What settings did you use?",Question/Suggestion
"Absolutely brilliant execution.",Praise
"Fantastic visuals!",Praise
"Keep your head up.",Support
"The text is hard to read against that background.",Constructive Criticism
"You are so stupid.",Hate/Abuse
"I'm going to dox you.",Threat
"This made my day.",Emotional
"Cheap Ray-Bans on sale now!",Irrelevant/Spam
"Is this available in the UK?",Question/Suggestion
"I love this channel!",Praise
"Don't listen to the trolls.",Support
"The audio is a bit echoey.",Constructive Criticism
"Go kill yourself.",Hate/Abuse
"This scares me.",Emotional
"Check out my mixtape.",Irrelevant/Spam
"How much does this cost?",Question/Suggestion
"Wonderful!",Praise
"Awful.",Hate/Abuse
"Maybe shorten the intro next time.",Constructive Criticism
"So nostalgic.",Emotional
"Scam alert!",Irrelevant/Spam
"Is it free?",Question/Suggestion
"Nice work buddy",Praise
"Horrible quality",Hate/Abuse
"Please upload daily",Question/Suggestion
"I am crying",Emotional
"Click the link below",Irrelevant/Spam
"I will hurt you",Threat
"You can do it",Support
"Use a better mic",Constructive Criticism
"Wow amazing",Praise
"You suck",Hate/Abuse
"Where are you from?",Question/Suggestion
"So happy for you",Emotional
"Free money here",Irrelevant/Spam
"Die",Threat
"Keep it up",Support
"Too much reverb",Constructive Criticism
"Best ever",Praise
"Idiot",Hate/Abuse
"Can you help me?",Question/Suggestion
"Sad story",Emotional
"Follow back",Irrelevant/Spam
"I'm watching you",Threat
"Good luck",Support
"Cut the silence out",Constructive Criticism
"Love it",Praise
"Hate it",Hate/Abuse
"What time is it?",Question/Suggestion
"Moving content",Emotional
"Visit my page",Irrelevant/Spam
"Be careful",Threat
"Proud of you",Support
"Fix the colors",Constructive Criticism
"Super",Praise
"Ugly",Hate/Abuse
"How to download?",Question/Suggestion
"Heartbreaking",Emotional
"Check this out",Irrelevant/Spam
"I know where you work",Threat
"Go for it",Support
"Too blurry",Constructive Criticism
"Great job",Praise
"Terrible",Hate/Abuse
"Why?",Question/Suggestion
"Touching",Emotional
"Promo",Irrelevant/Spam
"Run while you can",Threat
"Stay positive",Support
"Too shaky",Constructive Criticism
